TTL,precise_time,approx_time
-191.25,1943377618,2023-10-30T17:40:20.337
-189.1875,1943383353,2023-10-30T17:40:20.343
-187.125,1943389303,2023-10-30T17:40:20.349
-185.25,1943395282,2023-10-30T17:40:20.355
-183.375,1943401067,2023-10-30T17:40:20.361
-181.6875,1943406935,2023-10-30T17:40:20.367
-180.0,1943412909,2023-10-30T17:40:20.373
-178.5,1943418880,2023-10-30T17:40:20.379
-177.0,1943424917,2023-10-30T17:40:20.385
-175.3125,1943430957,2023-10-30T17:40:20.391
-174.1875,1943436821,2023-10-30T17:40:20.397
-172.6875,1943442716,2023-10-30T17:40:20.402
-171.375,1943448660,2023-10-30T17:40:20.408
-170.25,1943454663,2023-10-30T17:40:20.414
-168.9375,1943460659,2023-10-30T17:40:20.420
-167.8125,1943466524,2023-10-30T17:40:20.426
-166.6875,1943472417,2023-10-30T17:40:20.432
-165.5625,1943478299,2023-10-30T17:40:20.438
-164.4375,1943484122,2023-10-30T17:40:20.444
-163.5,1943490069,2023-10-30T17:40:20.450
-162.5625,1943495930,2023-10-30T17:40:20.456
-161.4375,1943501755,2023-10-30T17:40:20.461
-160.5,1943507594,2023-10-30T17:40:20.467
-159.5625,1943513504,2023-10-30T17:40:20.473
-158.625,1943519370,2023-10-30T17:40:20.479
-157.875,1943525195,2023-10-30T17:40:20.485
-156.9375,1943531115,2023-10-30T17:40:20.491
-156.0,1943537048,2023-10-30T17:40:20.497
-155.25,1943542907,2023-10-30T17:40:20.503
-154.3125,1943548713,2023-10-30T17:40:20.508
-153.5625,1943554591,2023-10-30T17:40:20.514
-152.8125,1943560561,2023-10-30T17:40:20.520
-152.0625,1943566440,2023-10-30T17:40:20.526
-151.3125,1943572327,2023-10-30T17:40:20.532
-150.375,1943578226,2023-10-30T17:40:20.538
-149.625,1943584040,2023-10-30T17:40:20.544
-148.875,1943589840,2023-10-30T17:40:20.550
-148.3125,1943595710,2023-10-30T17:40:20.555
-147.5625,1943601562,2023-10-30T17:40:20.561
-146.625,1943607377,2023-10-30T17:40:20.567
-146.0625,1943613257,2023-10-30T17:40:20.573
-145.5,1943619113,2023-10-30T17:40:20.579
-144.9375,1943624923,2023-10-30T17:40:20.585
-144.1875,1943630749,2023-10-30T17:40:20.590
-98.4375,1943636677,2023-10-30T17:40:20.596
2162.8125,1943642589,2023-10-30T17:40:20.602
-1232.0625,1943648411,2023-10-30T17:40:20.608
-6143.8125,1943654285,2023-10-30T17:40:20.614
-6143.8125,1943660146,2023-10-30T17:40:20.620
-6143.8125,1943666038,2023-10-30T17:40:20.626
-6143.8125,1943671880,2023-10-30T17:40:20.632
-6143.8125,1943677844,2023-10-30T17:40:20.638
-6143.8125,1943683734,2023-10-30T17:40:20.643
-6143.8125,1943689552,2023-10-30T17:40:20.649
-6143.8125,1943695430,2023-10-30T17:40:20.655
-6143.8125,1943701278,2023-10-30T17:40:20.661
-6143.8125,1943707115,2023-10-30T17:40:20.667
-6143.8125,1943712986,2023-10-30T17:40:20.673
-6143.8125,1943718984,2023-10-30T17:40:20.679
-6143.8125,1943724820,2023-10-30T17:40:20.685
-6143.8125,1943730618,2023-10-30T17:40:20.690
-6143.8125,1943736514,2023-10-30T17:40:20.696
-6143.8125,1943742492,2023-10-30T17:40:20.702
-6143.8125,1943748319,2023-10-30T17:40:20.708
-6143.8125,1943754246,2023-10-30T17:40:20.714
-6143.8125,1943760136,2023-10-30T17:40:20.720
-6143.8125,1943766021,2023-10-30T17:40:20.726
-6143.8125,1943771862,2023-10-30T17:40:20.732
-6143.8125,1943777733,2023-10-30T17:40:20.737
-6143.8125,1943783613,2023-10-30T17:40:20.743
-6143.8125,1943789433,2023-10-30T17:40:20.749
-6143.8125,1943795353,2023-10-30T17:40:20.755
-6143.8125,1943801245,2023-10-30T17:40:20.761
-6143.8125,1943807098,2023-10-30T17:40:20.767
-6143.8125,1943812968,2023-10-30T17:40:20.773
-6143.8125,1943818871,2023-10-30T17:40:20.779
-6143.8125,1943824724,2023-10-30T17:40:20.784
-6143.8125,1943830536,2023-10-30T17:40:20.790
-6143.8125,1943836404,2023-10-30T17:40:20.796
-6143.8125,1943842263,2023-10-30T17:40:20.802
-6143.8125,1943848073,2023-10-30T17:40:20.808
-6143.8125,1943853873,2023-10-30T17:40:20.814
-6143.8125,1943859743,2023-10-30T17:40:20.819
-6143.8125,1943865640,2023-10-30T17:40:20.825
-6143.8125,1943871475,2023-10-30T17:40:20.831
-6143.8125,1943877350,2023-10-30T17:40:20.837
-6143.8125,1943883212,2023-10-30T17:40:20.843
-6143.8125,1943889020,2023-10-30T17:40:20.849
-6143.8125,1943894815,2023-10-30T17:40:20.855
-6143.8125,1943900689,2023-10-30T17:40:20.860
-6143.8125,1943906547,2023-10-30T17:40:20.866
-6143.8125,1943912490,2023-10-30T17:40:20.872
-6143.8125,1943918456,2023-10-30T17:40:20.878
-6143.8125,1943924322,2023-10-30T17:40:20.884
-6143.8125,1943930131,2023-10-30T17:40:20.890
-6143.8125,1943935943,2023-10-30T17:40:20.896
-6143.8125,1943941829,2023-10-30T17:40:20.902
-6143.8125,1943947692,2023-10-30T17:40:20.907
-6143.8125,1943953504,2023-10-30T17:40:20.913
-6143.8125,1943959373,2023-10-30T17:40:20.919
-6143.8125,1943965275,2023-10-30T17:40:20.925
-6143.8125,1943971127,2023-10-30T17:40:20.931
-6143.8125,1943976936,2023-10-30T17:40:20.937
-6143.8125,1943982840,2023-10-30T17:40:20.943
-6143.8125,1943988695,2023-10-30T17:40:20.948
-6143.8125,1943994509,2023-10-30T17:40:20.954
-6143.8125,1944000390,2023-10-30T17:40:20.960
-6143.8125,1944006239,2023-10-30T17:40:20.966
-6143.8125,1944012054,2023-10-30T17:40:20.972
-6143.8125,1944018007,2023-10-30T17:40:20.978
-6143.8125,1944024214,2023-10-30T17:40:20.984
-6143.8125,1944030132,2023-10-30T17:40:20.990
-6143.8125,1944036048,2023-10-30T17:40:20.996
-6143.8125,1944041947,2023-10-30T17:40:21.002
-6143.8125,1944047835,2023-10-30T17:40:21.008
-6143.8125,1944053670,2023-10-30T17:40:21.013
-6143.8125,1944059486,2023-10-30T17:40:21.019
-6143.8125,1944065467,2023-10-30T17:40:21.025
-6143.8125,1944071330,2023-10-30T17:40:21.031
-6143.8125,1944077192,2023-10-30T17:40:21.037
-6143.8125,1944083066,2023-10-30T17:40:21.043
-6143.8125,1944088923,2023-10-30T17:40:21.049
-6143.8125,1944094720,2023-10-30T17:40:21.054
-6143.8125,1944100568,2023-10-30T17:40:21.060
